Term|Code|Preferred|PreferredTerm|Kind
123test|AAAAAA|V|123test|-1
5q minus syndroom|D55560|V|5q minus syndroom|2
a terme|F31560|V|a terme|2
a.c.t.h.|F25460|V|a.c.t.h.|2
a.d.a.m. complex|D25510|V|a.d.a.m. complex|2
a.i.d.s.|D46020E38910||aids|2
a.i.p.|T28780M41200||acute interstitiele pneumonie|2
a.n.c.a.|T0X160F40200||anti neutrofiele cytoplasmatische antilichamen|2
a.n.f.|P36520|V|a.n.f.|1
a.n.f. dubieus|P36523|V|a.n.f. dubieus|1
a.n.f. positief|P36521|V|a.n.f. positief|1
aa eiwit|F123Y0|V|aa eiwit|2
aambei|M32620||hemorroid|2
aangeboren afwijking|M20000|V|aangeboren afwijking|2
aangeboren afwijking van extremiteit|M21021|V|aangeboren afwijking van extremiteit|2
aangeboren hartgebrek|T32000M24000||congenitale hartafwijking|2
aangeboren stoornis|M20000||aangeboren afwijking|2
aangezicht|TY0200||gelaat|0
aangezichtszenuw|TX8410||nervus facialis|0
abcederende ontsteking|M41740||abces|2
abcedering|M41740||abces|2
abces|M41740|V|abces|2
abcesvorming|M41740||abces|2
abceswand|M41740||abces|2
abdomen|TY4100|V|abdomen|0
abdominaal|TY4100||abdomen|0
abdominale|TY4100||abdomen|0
abdominale aorta|T42500||aorta abdominalis|0
abdominale fibromatose|M88211||desmoid type fibromatose|2
aberrant weefsel|M26000||ectopie|2
ablatie|P11140|V|ablatie|1
ablatio|P11140||ablatie|1
abn.plav|M01000M01060||abnormale plaveiselcellen|6
abnormaal|M01000||afwijking|2
abnormaal groot|M02510|V|abnormaal groot|2
abnormaal klein|M02520|V|abnormaal klein|2
abnormaal korte navelstreng|T88800M29620|V|abnormaal korte navelstreng|2
abnormaal lang|M31112|V|abnormaal lang|2
abnormaal lange navelstreng|T88800M29630|V|abnormaal lange navelstreng|2
abnormaal ontspringende arterie|T41000M20720|V|abnormaal ontspringende arterie|2
abnormaal verkort|M31111|V|abnormaal verkort|2
abnormaal verlengd|M31112||abnormaal lang|2
abnormale cellen|M69000|V|abnormale cellen|2
abnormale mitose|M64800|V|abnormale mitose|2
abnormale placenta a terme|T88000M29003|V|abnormale placenta a terme|2
