Not_Found_Term,Found_Term,Similarity,Count
ischaemie,toxaemie,0.9656479954719543,2523
geen afwijkingen,zenuwstelsel afwijking,0.9474259614944458,1767
oesophagus,hypomelanose,0.9326083660125732,1631
vpb,brocq,0.900749921798706,1072
do,kind,0.8996831774711609,880
cirrhose,dystrofie,0.9518905878067015,603
tur,tand,0.9500131011009216,413
thrombose,flebotrombose,0.9579569101333618,388
adenocarcinoma,adenocarcinoom,0.98234623670578,379
basaalcel carcinoom,carcinoom basaalcel,0.99031263589859,366
lymfeklier,lymffollikel,0.9629598259925842,318
coronair arterie,arteriole,0.9516188502311708,303
trombus,morbus behcet,0.9426897168159484,299
arteriolosclerose,arteriosclerose,0.9731351733207704,299
ip,ec,0.9395056366920472,297
reactieve veranderingen,hemorragisch vocht,0.9347488880157472,293
lokalisatie primaire tumor onbekend,prolifererende tricholemmale tumor,0.9591426849365234,266
thromboembolie,tromboembolie,0.9689205288887024,249
bb,ml,0.9355430603027344,237
myocard infarct,myocardinfarct,0.9447245001792908,224
ibd,agd,0.9594266414642334,220
lokalisatie onbekend,etiologie onbekend,0.948317050933838,165
wekedelen,onderbeen,0.9396320581436156,152
transuretrale resectie,transurethrale resectie,0.974463164806366,151
infiltrerend ductaalcarcinoom,infiltrerend ductaal carcinoom,0.9836509227752686,140
vpab,mlpa,0.9279996156692504,135
excisiebiopt,circumcisie,0.9551655650138856,127
ductaal carcinoom in situ,ductaal carcinoma in situ,0.983932375907898,125
keratoacanthoom,adenoacanthoom,0.9632288217544556,122
nefrosclerose,flebosclerose,0.973645806312561,119
steatosis,peliosis,0.9704626202583312,114
basalioma,pleurae,0.9320786595344543,111
intrauteriene vruchtdood,intra uteriene vruchtdood,0.9695563912391664,109
carcinoma,carcinoid,0.9727504253387452,107
re-excisie,reexcisie,0.9402635097503662,106
fibro-epitheliale poliep,fibroepitheliale poliep,0.9845753908157348,103
trombo-embolie,tromboembolie,0.95489239692688,103
maag antrum,antrum maag,0.9887511134147644,102
haematoom,acanthoom,0.957779049873352,100
haematurie,maagresectie,0.9611884355545044,100
atherosclerosis,atherosclerosis generalisata,0.9541302919387816,100
dunnedarm,colonwand,0.9420595169067384,95
adenomyosis,adenoiditis,0.974724054336548,95
diffuus grootcellig b-cellymfoom,diffuus grootcellig b cel lymfoom,0.9815102815628052,95
haemangioom,hibernoom,0.952621340751648,93
diverticulosis,reticulosis,0.9664998054504396,92
mucocele,mucokele,0.957507312297821,89
coronair sclerose,carcinoom basaalcel,0.9358548521995544,87
multi-orgaanfalen,multi orgaan falen,0.9557108283042908,87
maag corpus,corpus maag,0.9781748652458192,86
aortadissectie,intussusceptie,0.957310140132904,86
emphyseem,immunoblast,0.9410073757171632,86
pap2,pap 3a2,0.9549014568328856,85
non-hodgkinlymfoom,non hodgkin lymfoom,0.9402546882629396,84
immuunperoxydase reactie,immuunperoxydase,0.965631663799286,84
keratose actinica,keratosis seborroica,0.9543433785438538,80
humaan papillomavirus test,humaan papilloma virus test,0.9803786277770996,79
1keer,endm,0.9165596961975098,74
ip reactie,reactief,0.9131651520729064,73
ecsqm,ec sqm,0.9289939403533936,67
progesteronreceptorbepaling positief,oestrogeenreceptorbepaling positief,0.9761671423912048,67
basaalcelcarcinoma,basaalcelcarcinoom,0.9815213084220886,66
hypovolemische shock,hypovolaemische shock,0.9569669365882874,65
pre-auriculair,palatum durum,0.9295264482498168,65
haemorrhagie,groeihormoon,0.964147925376892,64
retro-auriculair,regeneratieve nodus,0.9267498850822448,60
neuro-endocriene tumor,neuroendocriene tumor,0.9805827140808104,59
shavebiopt,shave biopt,0.9496759176254272,57
farynx,falanx,0.949498414993286,57
carcinoom in situ,carcinoma in situ,0.9792977571487428,54
tubulairadenoom,lipoadenoom,0.9567127823829652,52
b-cellymfoom,ml lymfocytair b,0.9279989004135132,51
haemorrhagisch infarct,dermatofibromen,0.961064636707306,51
skintag,skin tag,0.9224051237106324,50
cholesterolosis,hypercholesterolemia,0.9635663628578186,49
aspiratiecytologie,trombocytopenische purpura,0.9459213018417358,49
ductaalcarcinoom,eilandcelcarcinoom,0.9669569730758668,49
schildwachtklierprocedure,dysplastisch schildklierweefsel,0.9702335596084596,49
paraaortaal,para aortaal,0.9471457600593568,48
2maal,metatarsale 2,0.9023155570030212,47
eerste maligniteit,geen maligniteit,0.9630277156829834,47
paraffinecoupe,panfolliculoom,0.9598487615585328,46
acute tubulus necrose,carcinoma solidum,0.9200867414474488,46
mantelcellymfoom,lipofagengranuloom,0.9762023091316224,46
arteriosclerosis,arteriolosclerosis,0.9678294658660888,45
anastomose,acanthose,0.9543499946594238,44
encephalopathie,encefalopathie,0.9651851058006288,44
seborrhoische keratose,lichen planusachtige keratose,0.9630026817321776,44
leiomyoma,leiomyomata,0.9598085284233092,44
2 maal,maal,0.9187109470367432,44
multiorgaanfalen,submandibulair,0.922464907169342,41
grawitz tumor,burkitt tumor,0.954992949962616,41
orofarynx,acromegalie,0.9404006600379944,40
ischaemische necrose,ischemische necrose,0.9461328983306884,39
encefalitis,putrefactio,0.9677338600158693,39
levercirrhose,leverparenchym,0.9544718861579896,39
revisie tbv derden,revisie niet verwerkt,0.9502246975898744,39
dad,kin,0.8741282820701599,37
fibrosis,torulosis,0.9579540491104126,37
progesteronreceptorbepaling negatief,immuunperoxydasereactie positief,0.97871333360672,37
revisie tbv derden concordant,revisie voor derden concordant,0.966839075088501,36
nasofarynx,haemopericard,0.9260225892066956,36
ischaemische colitis,ischemische colitis,0.973197340965271,35
nevus,nervus,0.9702125191688538,34
excisiebiopsie,conusexcisie,0.9709078669548036,33
consult tbv derden,consult voor derden,0.9327142238616944,33
basaalcel carcinoom solide type,basaalcelcarcinoom solide type,0.9765657782554626,32
geen duidelijke afwijkingen,zonder duidelijke afwijking,0.9867047071456908,32
hematothorax,haematothorax,0.9320800304412842,32
congenitale afwijkingen,verdachte cellen,0.927940309047699,31
grootcelligcarcinoom,plaatepitheelcarcinoom,0.9657288789749146,31
ipreactie,stralingsreactie,0.9489368796348572,30
tricho-epithelioom,trichoepithelioom,0.961187779903412,30
aortaklep stenose,vroeg neonatale sterfte,0.9537066221237184,30
hart tamponade,harttamponade,0.9350310564041138,29
gastro-intestinale stromaceltumor,gastrointestinale stromaceltumor,0.990509033203125,29
asphyxie,asfyxie,0.9428301453590392,28
ductaalcarcinoom in situ,ductaal carcinoma in situ,0.9510996341705322,28
alcoholabusus,ureterostomie,0.9331350326538086,27
degeneratieve veranderingen,hyaliene degeneratie,0.9443304538726808,27
ductaalcarcinoma in situ,ductaal carcinoma in situ,0.9733814597129822,27
thrombo-embolie,metabole dood,0.9221333265304564,27
coronairsclerosis,arterosclerosis,0.9742465615272522,27
subduraal haematoom,mesodermale mengtumor,0.9699742197990416,26
hemopericard,hemoperitoneum,0.9470469355583192,26
t-cellymfoom,pseudolymfoom,0.9224636554718018,26
cristabeenmerg,middenvoetsbeen,0.9702016711235046,25
crista biopt,botbiopt,0.931972861289978,25
re excisie,excisie,0.9643556475639344,25
necrosis,argyrosis,0.9493533372879028,25
plaveiselcel carcinoom,plaveiselcelcarcinoom,0.9710981249809264,25
wig excisie,wigexcisie,0.9411178827285768,25
melanoom in situ,melanoma in situ,0.9672265648841858,24
ventrikelfibrilleren,ventrikel fibrilleren,0.9641353487968444,23
grensvlak naevus,zwembroek naevus,0.9418710470199584,23
leukocytoclastische vasculitis,leucocytoclastische vasculitis,0.9848225116729736,23
hart ventrikel,ventrikel hart,0.9867562651634216,23
metastase adenocarcinoma,metastase adenocarcinoom,0.9915143847465516,23
aspiratie pneumonie,lobulaire pneumonie,0.9732186198234558,22
hemorrhagie,ulcusbodem,0.9593451023101808,22
anthracose,melanophoren,0.9468889236450196,22
invasief ductaalcarcinoom,invasief ductaal carcinoom,0.9800374507904052,22
reusceltumor van de peesschede,reusceltumor van de weke delen,0.9691858291625975,21
polycythaemia vera,polycythemia vera,0.9491325616836548,21
intrauterine vruchtdood,metastase talgkliercarcinoom,0.9504573345184326,21
amyloidangiopathie,hemangioblastoom,0.9462772011756896,21
urine blaas,urineblaas,0.9384294152259828,21
oesophagitis,oesophagitis acuta,0.9784302115440368,21
maligne lymfoom b-cel,maligne b cel lymfoom,0.9844138026237488,20
endometriosis,endometriosis internal,0.9749589562416076,20
navelstreng afwijking,navelstrengafwijking,0.9594128131866456,20
lipoma,stoma,0.9419827461242676,19
amyloidosis,lichen amyloidosis,0.9484456777572632,19
inverted papilloom,inverted papilloma,0.9735676050186156,19
adenocarcinoom in situ,adenocarcinoma in situ,0.9855831265449524,19
arterie coronaria,arteria coronaria,0.9806575775146484,19
m.bowen,morbus bowen,0.8348876237869263,19
hand rug,rug,0.9183270931243896,18
lichen sclerosus et atroficus,lichen sclerosus et atrophicus,0.9777939319610596,18
auto-immuun hepatitis,autoimmuun hepatitis,0.9717918038368224,18
ethmoid,sigmoid,0.9529423713684082,18
actinische keratosis,keratosis actinic,0.9409821629524232,18
primaire lokalisatie onbekend,familiaire mediterrane koorts,0.947227954864502,18
pipelle biopt,biopten,0.954619526863098,18
bulleus pemfigoid,bulleus pemphigoid,0.9703744053840636,18
porokeratose,papillomatose,0.9349178671836852,18
oestrogeen receptorbepaling positief,progesteron receptorbepaling positief,0.9523200988769532,18
therapieeffect,stralingseffect,0.9377680420875548,17
