Not_Found_Term,Found_Term,Similarity,Count
ischaemie,5q minus syndroom,0.0,2523
geen afwijkingen,mamma geen afwijkingen,0.8909895337487386,1767
oesophagus,5q minus syndroom,0.0,1631
vpb,5q minus syndroom,0.0,1072
do,5q minus syndroom,0.0,880
cirrhose,5q minus syndroom,0.0,603
tur,5q minus syndroom,0.0,413
thrombose,5q minus syndroom,0.0,388
adenocarcinoma,adenocarcinoma papilliferum,0.724987802950534,379
basaalcel carcinoom,carcinoom basaalcel,1.0,366
lymfeklier,5q minus syndroom,0.0,318
coronair arterie,arterie,0.624183422010222,303
arteriolosclerose,5q minus syndroom,0.0,299
trombus,5q minus syndroom,0.0,299
ip,5q minus syndroom,0.0,297
reactieve veranderingen,reactieve ontsteking,0.8197601745363596,293
lokalisatie primaire tumor onbekend,primaire tumor onbekend,0.8106715283824367,266
thromboembolie,5q minus syndroom,0.0,249
bb,5q minus syndroom,0.0,237
myocard infarct,myocard,0.7549677965187057,224
ibd,5q minus syndroom,0.0,220
lokalisatie onbekend,h p v onbekend type,0.5350353741483568,165
wekedelen,5q minus syndroom,0.0,152
transuretrale resectie,resectie,1.0,151
infiltrerend ductaalcarcinoom,infiltrerend plaveiselcelcarcinoom,0.7281474077643852,140
vpab,5q minus syndroom,0.0,135
excisiebiopt,5q minus syndroom,0.0,127
ductaal carcinoom in situ,ductaal carcinoma in situ,0.8019350491863131,125
keratoacanthoom,5q minus syndroom,0.0,122
nefrosclerose,maligne nefrosclerose,0.8699691134785403,119
steatosis,steatosis hepatis,0.7657699582395072,114
basalioma,basalioma morphea like,0.627389313918631,111
intrauteriene vruchtdood,intra uteriene vruchtdood,0.6430546929089097,109
carcinoma,endometrioid carcinoma,0.6565762305833416,107
re-excisie,excisie,1.0,106
fibro-epitheliale poliep,poliep,0.4781483920032176,103
trombo-embolie,embolie,1.0,103
maag antrum,antrum maag,1.0,102
haematurie,5q minus syndroom,0.0,100
haematoom,5q minus syndroom,0.0,100
atherosclerosis,atherosclerosis generalisata,0.7444857242069521,100
adenomyosis,5q minus syndroom,0.0,95
diffuus grootcellig b-cellymfoom,diffuus grootcellig b cel lymfoom,0.7619836385158089,95
dunnedarm,5q minus syndroom,0.0,95
haemangioom,5q minus syndroom,0.0,93
diverticulosis,diverticulosis coli,0.7623972015765511,92
mucocele,5q minus syndroom,0.0,89
coronair sclerose,sclerose,0.624183422010222,87
multi-orgaanfalen,multi minicore myopathie,0.6017790323606003,87
maag corpus,corpus maag,1.0,86
aortadissectie,5q minus syndroom,0.0,86
emphyseem,5q minus syndroom,0.0,86
pap2,5q minus syndroom,0.0,85
immuunperoxydase reactie,immuunperoxydase,0.7842956845837652,84
non-hodgkinlymfoom,hepatitis non a non b,0.9242126320536502,84
keratose actinica,keratose,0.6497447674030087,80
humaan papillomavirus test,humaan papilloma virus test,0.7385266599656648,79
1keer,5q minus syndroom,0.0,74
ip reactie,i p reactie,1.0,73
ecsqm,5q minus syndroom,0.0,67
progesteronreceptorbepaling positief,a n f positief,1.0,67
basaalcelcarcinoma,5q minus syndroom,0.0,66
pre-auriculair,5q minus syndroom,0.0,65
hypovolemische shock,shock,1.0,65
haemorrhagie,5q minus syndroom,0.0,64
retro-auriculair,5q minus syndroom,0.0,60
neuro-endocriene tumor,maligne endocriene tumor,0.7389271072809938,59
farynx,5q minus syndroom,0.0,57
shavebiopt,5q minus syndroom,0.0,57
carcinoom in situ,in situ lobulair carcinoom,0.7939467986764266,54
tubulairadenoom,5q minus syndroom,0.0,52
b-cellymfoom,5q minus syndroom,0.0,51
haemorrhagisch infarct,infarct,1.0,51
skintag,5q minus syndroom,0.0,50
aspiratiecytologie,5q minus syndroom,0.0,49
schildwachtklierprocedure,5q minus syndroom,0.0,49
ductaalcarcinoom,5q minus syndroom,0.0,49
cholesterolosis,5q minus syndroom,0.0,49
paraaortaal,5q minus syndroom,0.0,48
eerste maligniteit,maligniteit,0.6180661178973713,47
2maal,5q minus syndroom,0.0,47
paraffinecoupe,5q minus syndroom,0.0,46
acute tubulus necrose,tubulus nier,0.5798957289760619,46
mantelcellymfoom,5q minus syndroom,0.0,46
arteriosclerosis,arteriosclerosis obliterans,0.7692665386550717,45
leiomyoma,bizarre leiomyoma,0.7171104641363135,44
anastomose,arterioveneuze anastomose,0.7216576882342275,44
seborrhoische keratose,keratose,1.0,44
encephalopathie,5q minus syndroom,0.0,44
2 maal,maal,1.0,44
grawitz tumor,grawitz,0.8849172370598093,41
multiorgaanfalen,5q minus syndroom,0.0,41
orofarynx,5q minus syndroom,0.0,40
ischaemische necrose,necrose,1.0,39
